fid,nazwa,url,opis,full,ourl
"1","Agens.pl","https://mambiznes.pl/startupy/agens-pl-77454","Agens.pl jest to autorska platforma do wsparcia sprzedaży ubezpieczeń. Obecnie w zakresie usług…",=hyperlink("http://fubar.pl/test/startupy/1.html","1.html"),""
"2","Bike Service","https://mambiznes.pl/startupy/bike-service-77412","Aplikacja Bike Service umożliwia użytkownikowi bez wychodzenia z domu znaleźć punkt serwisowy, zobaczyć…",=hyperlink("http://fubar.pl/test/startupy/2.html","2.html"),""
"3","Znajdzlunch.pl","https://mambiznes.pl/startupy/znajdzlunch-pl-2-77254","Znajdzlunch.pl jest to wyszukiwarka ofert lunchowych na terenie Poznania. Dzięki niej nie trzeba…",=hyperlink("http://fubar.pl/test/startupy/3.html","3.html"),""
"4","CebulaDeals.com","https://mambiznes.pl/startupy/cebuladeals-com-77386","CebulaDeals.com to strona, która automatycznie wyszukuje promocje w sklepach internetowych. Na początku monitorowaliśmy…",=hyperlink("http://fubar.pl/test/startupy/4.html","4.html"),""
"5","Terra Run","https://mambiznes.pl/startupy/terra-run-77299","TerraRun jest aplikacją mobilną, dzięki której zagramy we wcześniej przygotowaną grę terenową, w…",=hyperlink("http://fubar.pl/test/startupy/5.html","5.html"),""
"6","CreativeStudio","https://mambiznes.pl/startupy/creativestudio-76541","Zajmujemy się kompleksową produkcją filmową. Badamy wpływ filmu na decyzje zakupowe konsumenta. Od…",=hyperlink("http://fubar.pl/test/startupy/6.html","6.html"),""
"7","Urlopy.co","https://mambiznes.pl/startupy/urlopy-co-76926","Aplikacja Urlopy.co to narzędzie do prostego rozliczania urlopów w małych firmach. Pozwala na…",=hyperlink("http://fubar.pl/test/startupy/7.html","7.html"),""
"8","Szpiegomat","https://mambiznes.pl/startupy/szpiegomat-76578","Stworzyliśmy narzędzie price intelligence do monitoringu cen w internecie dla producentów i sprzedawców…",=hyperlink("http://fubar.pl/test/startupy/8.html","8.html"),""
"9","Vegetime","https://mambiznes.pl/startupy/vegetime-76730","Vegetime.pl to wyszukiwarka restauracji oferujących posiłki dla wegetarian i wegan. Jest nastawiona nie…",=hyperlink("http://fubar.pl/test/startupy/9.html","9.html"),""
"10","TeleCube.pl","https://mambiznes.pl/startupy/telecube-pl-76697","TeleCube.pl to marka telefonii internetowej (VoIP), szczególny nacisk jednak kładziemy na rozwój usługi…",=hyperlink("http://fubar.pl/test/startupy/10.html","10.html"),""
